sku_name,brand,category,merchant,price_usd,discount,sold,gmv_usd,rating,reviews,month,country,marketplace,sku_name_clean,brand_clean,competitor_p25,competitor_median,competitor_p75,competitor_count
IKEA Kitchen Organizer Standard,IKEA,Home & Living,ikea-seller-056,148.76,14.77,39,5801.47,4.31,196,2026-03-01,Philippines,Lazada,ikea kitchen organizer standard,ikea,50.21,106.07,137.275,19
Philips LED Bulb 2026,Philips,Home & Living,philips-seller-024,102.6,2.27,45,4617.18,4.92,727,2026-03-01,Philippines,Lazada,philips led bulb 2026,philips,50.21,106.07,137.275,19
LocknLock Food Container Standard,LocknLock,Home & Living,locknlock-seller-008,50.27,5.43,99,4977.2,4.89,243,2026-03-01,Thailand,Shopee,locknlock food container standard,locknlock,53.71,121.445,153.235,22
Oishi Green Tea Mini,Oishi,Groceries,oishi-seller-006,4.7,5.83,469,2204.15,4.86,111,2026-03-01,Malaysia,Lazada,oishi green tea mini,oishi,15.995000000000001,21.35,29.77,10
Baseus USB-C Cable 2026,Baseus,Accessories,baseus-seller-043,42.29,33.76,138,5836.05,4.77,53,2026-03-01,Vietnam,Lazada,baseus usb c cable 2026,baseus,15.53,22.61,37.51,7
Maybelline Lip Tint Plus,Maybelline,Beauty,maybelline-seller-014,44.96,17.92,169,7598.54,4.39,377,2026-03-01,Singapore,Shopee,maybelline lip tint plus,maybelline,22.35,42.66,60.07,17
Innisfree Cleanser Max,Innisfree,Beauty,innisfree-seller-024,19.69,2.03,235,4627.36,4.61,235,2026-03-01,Indonesia,Shopee,innisfree cleanser max,innisfree,19.69,31.76,41.59,13
Logitech Wireless Mouse Standard,Logitech,Accessories,logitech-seller-022,68.95,12.41,100,6895.09,4.86,533,2026-03-01,Singapore,Lazada,logitech wireless mouse standard,logitech,29.88,41.3,62.44,13
IKEA Desk Lamp Standard,IKEA,Home & Living,ikea-seller-046,54.84,16.11,109,5977.52,4.73,15112,2026-03-01,Vietnam,Shopee,ikea desk lamp standard,ikea,18.14,54.84,89.36,13
Oishi Green Tea,Oishi,Groceries,oishi-seller-022,25.89,13.41,237,6136.71,4.15,24,2026-03-01,Philippines,Shopee,oishi green tea,oishi,18.82,23.37,28.439999999999998,15
Maybelline Foundation 2026,Maybelline,Beauty,maybelline-seller-035,7.02,0.0,316,2218.21,4.79,21,2026-03-01,Vietnam,Shopee,maybelline foundation 2026,maybelline,10.5625,24.810000000000002,43.7425,14
Nestle Cereal 2026,Nestle,Groceries,nestle-seller-007,28.22,9.32,187,5277.41,5.0,173,2026-03-01,Thailand,Lazada,nestle cereal 2026,nestle,13.785,25.494999999999997,27.95,14
Innisfree Moisturizer Plus,Innisfree,Beauty,innisfree-seller-056,8.38,6.79,306,2565.27,5.0,317,2026-03-01,Vietnam,Lazada,innisfree moisturizer plus,innisfree,15.89,25.869999999999997,43.81,14
Logitech Mechanical Keyboard Max,Logitech,Accessories,logitech-seller-022,63.2,0.0,95,6004.4,4.28,1089,2026-03-01,Philippines,Shopee,logitech mechanical keyboard max,logitech,19.3525,32.84,56.6075,14
Oishi Crackers Plus,Oishi,Groceries,oishi-seller-009,11.81,15.24,401,4737.46,4.11,446,2026-03-01,Vietnam,Shopee,oishi crackers plus,oishi,11.4125,13.67,17.03,14
Innisfree Clay Mask,Innisfree,Beauty,innisfree-seller-060,29.47,1.76,166,4891.61,4.47,1403,2026-03-01,Singapore,Shopee,innisfree clay mask,innisfree,22.35,42.66,60.07,17
IKEA Desk Lamp Max,IKEA,Home & Living,ikea-seller-035,78.37,2.02,62,4858.82,5.0,26,2026-03-01,Vietnam,Lazada,ikea desk lamp max,ikea,29.75,66.65,74.975,15
Oishi Snack Mix Plus,Oishi,Groceries,oishi-seller-031,14.43,30.78,386,5569.83,4.69,442,2026-03-01,Vietnam,Shopee,oishi snack mix plus,oishi,11.4125,13.67,17.03,14
Logitech Mechanical Keyboard Standard,Logitech,Accessories,logitech-seller-025,55.99,8.92,98,5487.25,4.59,328,2026-03-01,Thailand,Lazada,logitech mechanical keyboard standard,logitech,29.6825,44.790000000000006,64.955,16
Innisfree Cleanser Max,Innisfree,Beauty,innisfree-seller-051,29.78,12.57,191,5688.83,4.7,130,2026-03-01,Malaysia,Lazada,innisfree cleanser max,innisfree,19.45,29.78,41.735,15
Oishi Snack Mix 2026,Oishi,Groceries,oishi-seller-004,4.21,7.02,514,2164.44,4.48,82,2026-03-01,Indonesia,Lazada,oishi snack mix 2026,oishi,8.64,20.55,25.604999999999997,15
L'Oreal Shampoo Mini,L'Oreal,Beauty,l'oreal-seller-031,41.59,9.16,185,7694.8,4.88,848,2026-03-01,Indonesia,Shopee,l oreal shampoo mini,l oreal,19.69,31.76,41.59,13
Baseus USB-C Cable,Baseus,Accessories,baseus-seller-012,58.81,7.52,114,6704.0,4.81,308,2026-03-01,Indonesia,Shopee,baseus usb c cable,baseus,18.55,35.46,58.81,13
Nestle Coffee Mini,Nestle,Groceries,nestle-seller-016,15.0,8.48,361,5414.53,4.41,203,2026-03-01,Vietnam,Shopee,nestle coffee mini,nestle,11.4125,13.67,17.03,14
IKEA Storage Box Max,IKEA,Home & Living,ikea-seller-038,135.47,9.52,74,10024.73,4.66,126,2026-03-01,Indonesia,Shopee,ikea storage box max,ikea,42.685,67.92500000000001,124.1525,16
L'Oreal Face Wash Max,L'Oreal,Beauty,l'oreal-seller-021,30.13,8.43,173,5212.52,4.97,35,2026-03-01,Indonesia,Lazada,l oreal face wash max,l oreal,25.83,29.494999999999997,36.5725,6
Xiaomi Router Max,Xiaomi,Electronics,xiaomi-seller-020,374.64,4.82,17,6368.95,4.58,65,2026-03-01,Thailand,Lazada,xiaomi router max,xiaomi,115.575,304.92,384.46500000000003,14
Logitech Mechanical Keyboard Mini,Logitech,Accessories,logitech-seller-037,41.3,22.86,148,6112.31,4.4,189,2026-03-01,Singapore,Lazada,logitech mechanical keyboard mini,logitech,29.88,41.3,62.44,13
IKEA Kitchen Organizer Pro,IKEA,Home & Living,ikea-seller-009,18.14,0.74,167,3028.93,4.3,114,2026-03-01,Vietnam,Shopee,ikea kitchen organizer pro,ikea,18.14,54.84,89.36,13
Nestle Cereal 2026,Nestle,Groceries,nestle-seller-029,16.09,11.96,306,4922.17,4.31,140,2026-03-01,Malaysia,Shopee,nestle cereal 2026,nestle,11.1625,18.03,24.435,14
Philips Desk Fan Standard,Philips,Home & Living,philips-seller-043,106.76,24.26,56,5978.42,4.51,240,2026-03-01,Indonesia,Lazada,philips desk fan standard,philips,89.89,106.76,129.64,17
Logitech Mechanical Keyboard Standard,Logitech,Accessories,logitech-seller-057,21.77,19.87,187,4070.09,4.72,158,2026-03-01,Indonesia,Lazada,logitech mechanical keyboard standard,logitech,18.86,37.72,61.21,17
Innisfree Cleanser 2026,Innisfree,Beauty,innisfree-seller-046,46.91,5.86,122,5722.44,4.86,184,2026-03-01,Vietnam,Shopee,innisfree cleanser 2026,innisfree,10.5625,24.810000000000002,43.7425,14
Maybelline Foundation Pro,Maybelline,Beauty,maybelline-seller-058,53.57,19.81,147,7874.44,4.04,380,2026-03-01,Malaysia,Shopee,maybelline foundation pro,maybelline,21.82,37.81,41.54,13
JBL Bluetooth Speaker Standard,JBL,Electronics,jbl-seller-022,164.85,13.2,35,5769.85,4.67,1410,2026-03-01,Vietnam,Shopee,jbl bluetooth speaker standard,jbl,156.315,189.31,322.935,14
Kikkoman Teriyaki Sauce Mini,Kikkoman,Groceries,kikkoman-seller-046,27.14,23.81,250,6786.07,4.8,126,2026-03-01,Thailand,Lazada,kikkoman teriyaki sauce mini,kikkoman,13.785,25.494999999999997,27.95,14
Logitech Webcam 2026,Logitech,Accessories,logitech-seller-035,10.75,8.25,309,3321.02,3.95,753,2026-03-01,Singapore,Shopee,logitech webcam 2026,logitech,15.66,31.33,53.475,23
Philips LED Bulb Plus,Philips,Home & Living,philips-seller-009,70.44,11.56,70,4930.64,4.64,213,2026-03-01,Vietnam,Lazada,philips led bulb plus,philips,29.75,66.65,74.975,15
L'Oreal Hair Serum 2026,L'Oreal,Beauty,l'oreal-seller-044,50.34,16.98,161,8104.36,4.18,125,2026-03-01,Vietnam,Lazada,l oreal hair serum 2026,l oreal,15.89,25.869999999999997,43.81,14
Maybelline Foundation Mini,Maybelline,Beauty,maybelline-seller-048,17.73,24.33,307,5442.88,4.26,103,2026-03-01,Thailand,Shopee,maybelline foundation mini,maybelline,18.35,24.02,46.9,17
Oishi Snack Mix Standard,Oishi,Groceries,oishi-seller-012,31.41,12.54,256,8042.03,5.0,1219,2026-03-01,Thailand,Shopee,oishi snack mix standard,oishi,19.54,24.34,27.15,13
Samsung Tablet,Samsung,Electronics,samsung-seller-016,93.25,19.02,48,4475.9,4.4,98,2026-03-01,Philippines,Lazada,samsung tablet,samsung,85.88,133.575,319.66,12
Anker USB-C Hub,Anker,Accessories,anker-seller-031,38.68,17.74,159,6150.37,5.0,162,2026-03-01,Malaysia,Shopee,anker usb c hub,anker,41.05,61.52,72.8,11
JBL Earbuds,JBL,Electronics,jbl-seller-051,406.69,18.37,21,8540.4,4.45,20,2026-03-01,Thailand,Shopee,jbl earbuds,jbl,76.24,156.28,284.22,9
Baseus USB-C Cable Plus,Baseus,Accessories,baseus-seller-022,25.46,4.48,201,5116.93,4.37,41,2026-03-01,Thailand,Shopee,baseus usb c cable plus,baseus,28.575,50.675,67.18249999999999,18
Innisfree Cleanser Mini,Innisfree,Beauty,innisfree-seller-026,37.81,8.19,153,5785.11,4.26,75,2026-03-01,Malaysia,Shopee,innisfree cleanser mini,innisfree,21.82,37.81,41.54,13
Logitech Mechanical Keyboard 2026,Logitech,Accessories,logitech-seller-038,38.74,2.42,121,4688.02,5.0,154,2026-03-01,Philippines,Lazada,logitech mechanical keyboard 2026,logitech,17.98,34.06,44.21,13
Baseus Laptop Stand Pro,Baseus,Accessories,baseus-seller-047,77.89,7.04,91,7088.23,4.29,297,2026-03-01,Malaysia,Shopee,baseus laptop stand pro,baseus,41.05,61.52,72.8,11
Philips LED Bulb Plus,Philips,Home & Living,philips-seller-058,74.5,22.93,50,3724.83,5.0,110,2026-03-01,Malaysia,Lazada,philips led bulb plus,philips,72.85,104.89,151.0625,12
L'Oreal Face Wash Plus,L'Oreal,Beauty,l'oreal-seller-001,38.85,19.75,188,7304.64,4.21,163,2026-03-01,Indonesia,Shopee,l oreal face wash plus,l oreal,19.69,31.76,41.59,13
Innisfree Clay Mask Max,Innisfree,Beauty,innisfree-seller-059,14.79,0.62,242,3578.91,4.32,40,2026-03-01,Indonesia,Shopee,innisfree clay mask max,innisfree,19.69,31.76,41.59,13
Baseus Laptop Stand Mini,Baseus,Accessories,baseus-seller-020,55.95,17.23,111,6210.86,4.24,147,2026-03-01,Malaysia,Lazada,baseus laptop stand mini,baseus,38.855,52.955,59.265,10
Innisfree Cleanser Pro,Innisfree,Beauty,innisfree-seller-036,39.06,10.48,150,5858.74,4.24,28,2026-03-01,Philippines,Lazada,innisfree cleanser pro,innisfree,24.76,31.09,40.11,13
Samsung Monitor Max,Samsung,Electronics,samsung-seller-048,183.8,13.02,29,5330.24,4.42,111,2026-03-01,Thailand,Shopee,samsung monitor max,samsung,76.24,156.28,284.22,9
Samsung SSD Pro,Samsung,Electronics,samsung-seller-019,92.53,5.09,32,2960.97,4.57,54,2026-03-01,Thailand,Lazada,samsung ssd pro,samsung,115.575,304.92,384.46500000000003,14
Philips Desk Fan Pro,Philips,Home & Living,philips-seller-030,164.67,14.19,45,7410.19,4.3,78,2026-03-01,Thailand,Lazada,philips desk fan pro,philips,28.61,53.28,142.38,5
Kikkoman Teriyaki Sauce,Kikkoman,Groceries,kikkoman-seller-058,13.11,16.56,316,4142.95,4.28,17,2026-03-01,Singapore,Lazada,kikkoman teriyaki sauce,kikkoman,10.0975,15.16,31.4725,16
Anker Power Bank Max,Anker,Accessories,anker-seller-041,12.96,18.38,288,3733.02,4.15,204,2026-03-01,Philippines,Shopee,anker power bank max,anker,19.3525,32.84,56.6075,14
Logitech Webcam Pro,Logitech,Accessories,logitech-seller-015,8.81,8.92,252,2221.01,4.9,74,2026-03-01,Indonesia,Lazada,logitech webcam pro,logitech,18.86,37.72,61.21,17
Logitech Wireless Mouse Plus,Logitech,Accessories,logitech-seller-040,61.11,31.47,164,10021.51,3.93,42,2026-03-01,Thailand,Shopee,logitech wireless mouse plus,logitech,28.575,50.675,67.18249999999999,18
Samsung Tablet 2026,Samsung,Electronics,samsung-seller-046,448.25,7.17,18,8068.5,4.58,123,2026-03-01,Vietnam,Lazada,samsung tablet 2026,samsung,76.67,184.22,303.29,13
JBL Bluetooth Speaker 2026,JBL,Electronics,jbl-seller-042,81.29,16.71,56,4552.11,4.44,101,2026-03-01,Philippines,Lazada,jbl bluetooth speaker 2026,jbl,85.88,133.575,319.66,12
Anker USB-C Hub 2026,Anker,Accessories,anker-seller-052,48.41,9.39,132,6390.51,4.97,90,2026-03-01,Philippines,Shopee,anker usb c hub 2026,anker,19.3525,32.84,56.6075,14
Baseus USB-C Cable,Baseus,Accessories,baseus-seller-008,44.21,5.25,128,5658.58,4.0,151,2026-03-01,Philippines,Lazada,baseus usb c cable,baseus,17.98,34.06,44.21,13
Samsung Tablet Mini,Samsung,Electronics,samsung-seller-039,320.88,18.17,21,6738.56,4.03,585,2026-03-01,Singapore,Shopee,samsung tablet mini,samsung,276.5425,318.47,357.98,10
Philips Desk Fan Plus,Philips,Home & Living,philips-seller-054,113.78,12.66,49,5575.2,4.38,240,2026-03-01,Malaysia,Lazada,philips desk fan plus,philips,72.85,104.89,151.0625,12
Kikkoman Teriyaki Sauce Plus,Kikkoman,Groceries,kikkoman-seller-017,25.63,8.18,201,5152.55,4.72,221,2026-03-01,Indonesia,Lazada,kikkoman teriyaki sauce plus,kikkoman,8.64,20.55,25.604999999999997,15
LocknLock Lunch Box 2026,LocknLock,Home & Living,locknlock-seller-018,28.61,8.44,116,3318.47,4.4,76,2026-03-01,Thailand,Lazada,locknlock lunch box 2026,locknlock,28.61,53.28,142.38,5
L'Oreal Hair Serum Pro,L'Oreal,Beauty,l'oreal-seller-021,46.66,27.01,169,7885.05,4.28,33,2026-03-01,Singapore,Shopee,l oreal hair serum pro,l oreal,22.35,42.66,60.07,17
Oishi Green Tea Plus,Oishi,Groceries,oishi-seller-045,19.0,0.0,277,5262.57,4.61,3541,2026-03-01,Indonesia,Shopee,oishi green tea plus,oishi,18.9375,21.56,25.0425,12
Anker Charging Cable Pro,Anker,Accessories,anker-seller-035,74.0,17.81,121,8954.42,4.72,194,2026-03-01,Thailand,Shopee,anker charging cable pro,anker,28.575,50.675,67.18249999999999,18
Logitech Mechanical Keyboard Plus,Logitech,Accessories,logitech-seller-058,53.75,27.09,141,7578.07,4.61,167,2026-03-01,Singapore,Lazada,logitech mechanical keyboard plus,logitech,29.88,41.3,62.44,13
LocknLock Food Container Standard,LocknLock,Home & Living,locknlock-seller-023,24.31,20.75,133,3233.47,3.96,930,2026-03-01,Indonesia,Shopee,locknlock food container standard,locknlock,42.685,67.92500000000001,124.1525,16
Samsung Tablet Max,Samsung,Electronics,samsung-seller-035,403.81,0.0,15,6057.2,4.47,315,2026-03-01,Malaysia,Lazada,samsung tablet max,samsung,208.42499999999998,364.54999999999995,394.8175,16
Xiaomi Bluetooth Speaker Plus,Xiaomi,Electronics,xiaomi-seller-032,204.22,0.0,30,6126.58,4.46,106,2026-03-01,Indonesia,Shopee,xiaomi bluetooth speaker plus,xiaomi,136.705,196.675,285.3575,14
Maybelline Lip Tint,Maybelline,Beauty,maybelline-seller-026,55.23,0.0,135,7456.13,4.19,275,2026-03-01,Vietnam,Lazada,maybelline lip tint,maybelline,15.89,25.869999999999997,43.81,14
Xiaomi Router Mini,Xiaomi,Electronics,xiaomi-seller-002,249.68,12.47,25,6242.09,4.55,144,2026-03-01,Philippines,Shopee,xiaomi router mini,xiaomi,192.81,243.89,274.265,10
Baseus Laptop Stand 2026,Baseus,Accessories,baseus-seller-056,32.0,3.14,156,4991.73,5.0,6,2026-03-01,Singapore,Shopee,baseus laptop stand 2026,baseus,15.66,31.33,53.475,23
Anker Charging Cable Pro,Anker,Accessories,anker-seller-014,56.74,9.03,127,7206.16,4.06,58,2026-03-01,Singapore,Shopee,anker charging cable pro,anker,15.66,31.33,53.475,23
Innisfree Moisturizer,Innisfree,Beauty,innisfree-seller-054,6.77,5.82,318,2152.96,4.52,153,2026-03-01,Singapore,Lazada,innisfree moisturizer,innisfree,22.822499999999998,33.730000000000004,39.1825,12
Anker USB-C Hub Max,Anker,Accessories,anker-seller-035,65.72,15.91,84,5520.42,4.12,349,2026-03-01,Singapore,Lazada,anker usb c hub max,anker,29.88,41.3,62.44,13
Kikkoman Soy Sauce,Kikkoman,Groceries,kikkoman-seller-042,26.32,14.02,202,5317.52,5.0,44,2026-03-01,Vietnam,Lazada,kikkoman soy sauce,kikkoman,13.125,23.72,29.645,11
Oishi Green Tea Mini,Oishi,Groceries,oishi-seller-010,32.41,1.99,225,7293.11,4.87,118,2026-03-01,Vietnam,Shopee,oishi green tea mini,oishi,11.4125,13.67,17.03,14
Samsung SSD Mini,Samsung,Electronics,samsung-seller-014,156.28,0.0,33,5157.21,4.81,27,2026-03-01,Thailand,Shopee,samsung ssd mini,samsung,76.24,156.28,284.22,9
L'Oreal Face Wash Mini,L'Oreal,Beauty,l'oreal-seller-048,32.83,11.23,176,5777.68,4.36,239,2026-03-01,Singapore,Lazada,l oreal face wash mini,l oreal,22.822499999999998,33.730000000000004,39.1825,12
Nestle Coffee Mini,Nestle,Groceries,nestle-seller-002,30.99,22.77,247,7654.97,5.0,332,2026-03-01,Philippines,Shopee,nestle coffee mini,nestle,18.82,23.37,28.439999999999998,15
Samsung SSD Standard,Samsung,Electronics,samsung-seller-038,391.82,14.78,13,5093.64,4.36,58,2026-03-01,Malaysia,Lazada,samsung ssd standard,samsung,208.42499999999998,364.54999999999995,394.8175,16
Baseus Laptop Stand,Baseus,Accessories,baseus-seller-044,31.16,17.74,204,6357.1,4.39,279,2026-03-01,Philippines,Shopee,baseus laptop stand,baseus,19.3525,32.84,56.6075,14
IKEA Storage Box Mini,IKEA,Home & Living,ikea-seller-028,108.37,20.11,71,7694.51,3.91,31,2026-03-01,Indonesia,Shopee,ikea storage box mini,ikea,42.685,67.92500000000001,124.1525,16
Baseus Phone Holder Pro,Baseus,Accessories,baseus-seller-001,17.98,13.59,190,3416.27,4.05,298,2026-03-01,Philippines,Lazada,baseus phone holder pro,baseus,17.98,34.06,44.21,13
Anker Charging Cable Max,Anker,Accessories,anker-seller-058,36.77,20.43,147,5404.87,4.22,3494,2026-03-01,Singapore,Lazada,anker charging cable max,anker,29.88,41.3,62.44,13
Xiaomi Router Mini,Xiaomi,Electronics,xiaomi-seller-042,434.31,0.0,21,9120.44,4.55,67,2026-03-01,Singapore,Shopee,xiaomi router mini,xiaomi,276.5425,318.47,357.98,10
JBL Headphones Mini,JBL,Electronics,jbl-seller-018,362.2,26.17,19,6881.83,4.33,1306,2026-03-01,Malaysia,Lazada,jbl headphones mini,jbl,208.42499999999998,364.54999999999995,394.8175,16
Anker Charging Cable 2026,Anker,Accessories,anker-seller-049,61.52,19.44,127,7812.81,3.93,585,2026-03-01,Malaysia,Shopee,anker charging cable 2026,anker,41.05,61.52,72.8,11
L'Oreal Hair Serum,L'Oreal,Beauty,l'oreal-seller-021,40.12,16.88,158,6338.2,4.75,542,2026-03-01,Singapore,Lazada,l oreal hair serum,l oreal,22.822499999999998,33.730000000000004,39.1825,12
Nestle Cereal Pro,Nestle,Groceries,nestle-seller-018,9.42,11.54,343,3232.58,4.84,174,2026-03-01,Thailand,Lazada,nestle cereal pro,nestle,13.785,25.494999999999997,27.95,14
IKEA Kitchen Organizer 2026,IKEA,Home & Living,ikea-seller-006,148.9,17.45,44,6551.81,4.56,153,2026-03-01,Indonesia,Lazada,ikea kitchen organizer 2026,ikea,89.89,106.76,129.64,17
Samsung SSD Max,Samsung,Electronics,samsung-seller-031,37.85,16.01,80,3028.3,4.19,687,2026-03-01,Thailand,Lazada,samsung ssd max,samsung,115.575,304.92,384.46500000000003,14
Xiaomi Smart Band Pro,Xiaomi,Electronics,xiaomi-seller-015,180.3,13.57,38,6851.27,4.91,24,2026-03-01,Philippines,Lazada,xiaomi smart band pro,xiaomi,85.88,133.575,319.66,12
Maybelline Lip Tint Pro,Maybelline,Beauty,maybelline-seller-031,20.68,12.38,245,5066.79,4.98,65,2026-03-01,Singapore,Shopee,maybelline lip tint pro,maybelline,22.35,42.66,60.07,17
Samsung Tablet Pro,Samsung,Electronics,samsung-seller-023,270.22,23.63,22,5944.79,5.0,79,2026-03-01,Indonesia,Lazada,samsung tablet pro,samsung,84.8,203.79500000000002,286.1875,16
Innisfree Moisturizer 2026,Innisfree,Beauty,innisfree-seller-008,20.58,3.59,198,4075.14,3.87,34,2026-03-01,Philippines,Lazada,innisfree moisturizer 2026,innisfree,24.76,31.09,40.11,13
L'Oreal Face Wash Mini,L'Oreal,Beauty,l'oreal-seller-049,57.31,10.29,146,8367.62,4.53,333,2026-03-01,Philippines,Shopee,l oreal face wash mini,l oreal,20.5925,29.16,41.37,14
Oishi Crackers Plus,Oishi,Groceries,oishi-seller-018,38.49,24.97,218,8390.04,4.0,162,2026-03-01,Philippines,Shopee,oishi crackers plus,oishi,18.82,23.37,28.439999999999998,15
Logitech Mechanical Keyboard 2026,Logitech,Accessories,logitech-seller-024,19.0,21.51,210,3990.09,5.0,74,2026-03-01,Philippines,Lazada,logitech mechanical keyboard 2026,logitech,17.98,34.06,44.21,13
Baseus Phone Holder 2026,Baseus,Accessories,baseus-seller-018,65.24,6.37,94,6132.57,5.0,457,2026-03-01,Thailand,Lazada,baseus phone holder 2026,baseus,29.6825,44.790000000000006,64.955,16
LocknLock Lunch Box 2026,LocknLock,Home & Living,locknlock-seller-041,134.61,8.9,60,8076.64,4.65,221,2026-03-01,Vietnam,Shopee,locknlock lunch box 2026,locknlock,18.14,54.84,89.36,13
Baseus Laptop Stand Plus,Baseus,Accessories,baseus-seller-031,13.3,1.94,246,3271.94,4.86,47,2026-03-01,Singapore,Shopee,baseus laptop stand plus,baseus,15.66,31.33,53.475,23
Oishi Snack Mix,Oishi,Groceries,oishi-seller-031,10.93,13.79,336,3674.14,4.54,617,2026-03-01,Singapore,Lazada,oishi snack mix,oishi,10.0975,15.16,31.4725,16
JBL Bluetooth Speaker Mini,JBL,Electronics,jbl-seller-041,417.44,2.95,22,9183.67,3.98,258,2026-03-01,Vietnam,Shopee,jbl bluetooth speaker mini,jbl,156.315,189.31,322.935,14
